Orden,Nombre,Frecuencia,Edad Media (*),sexo
5283,HANNELORE,155 ,"75,4",Mujer
14045,CONCORDIA,47 ,"75,4",Mujer
15324,LADISLAA,43 ,"75,4",Mujer
23272,MARILYN ANN,27 ,"75,4",Mujer
26.343,BRENDA JEAN,23 ,"75,4",Mujer
28.594,CONCESINA,21 ,"75,4",Mujer
5677,LUPICINIO,150 ,"75,3",Hombres
904,PRIMITIVA,2.039 ,"75,3",Mujer
1237,RAIMUNDA,1.303 ,"75,3",Mujer
2717,AMBROSIA,377 ,"75,3",Mujer
4180,CRISTETA,210 ,"75,3",Mujer
13711,SHEILA MARGARET,49 ,"75,3",Mujer
21209,MARIA PREDESTINACION,30 ,"75,3",Mujer
26.368,CASTULA,23 ,"75,3",Mujer
29.097,MARIA ADONINA,21 ,"75,3",Mujer
30.399,MARIA NADALINA,20 ,"75,3",Mujer
9501,TEOLINDO,80 ,"75,2",Hombres
486,FELIPA,4.694 ,"75,2",Mujer
2219,EUSTAQUIA,504 ,"75,2",Mujer
3993,LONGINA,222 ,"75,2",Mujer
4917,ANACLETA,170 ,"75,2",Mujer
7540,MELITONA,100 ,"75,2",Mujer
7627,WALTRAUD,99 ,"75,2",Mujer
8610,MARIA CARMEN JOSEFA,85 ,"75,2",Mujer
10624,BLASINDA,65 ,"75,2",Mujer
11331,BERYL,60 ,"75,2",Mujer
20224,ALADINA,31 ,"75,2",Mujer
22949,CRISOSTOMA,27 ,"75,2",Mujer
27.098,SOLITA,23 ,"75,2",Mujer
826,ANUNCIACION,2.289 ,"75,1",Mujer
1718,GABINA,771 ,"75,1",Mujer
2246,GERMANA,497 ,"75,1",Mujer
2792,VENERANDA,363 ,"75,1",Mujer
6451,RESTITUTA,122 ,"75,1",Mujer
9639,PASCUA,74 ,"75,1",Mujer
22938,CIRCUNCISION,27 ,"75,1",Mujer
24.662,EXCELSA,25 ,"75,1",Mujer
28.841,IRENE MARY,21 ,"75,1",Mujer
10576,NICEFORO,70 ,"75,0",Hombres
1411,DEMETRIA,1.075 ,"75,0",Mujer
3476,FREDESVINDA,268 ,"75,0",Mujer
6467,ESTEFANA,121 ,"75,0",Mujer
9659,VIDALA,74 ,"75,0",Mujer
15050,MARIA ROSA PILAR,44 ,"75,0",Mujer
23042,FELISA CONCEPCION,27 ,"75,0",Mujer
27.906,MARIA LUZ CARMEN,22 ,"75,0",Mujer
5762,EUTIQUIANO,147 ,"74,9",Hombres
26016,HORST DIETER,23 ,"74,9",Hombres
1081,DORINDA,1.625 ,"74,9",Mujer
1166,GUMERSINDA,1.432 ,"74,9",Mujer
1331,BENILDE,1.167 ,"74,9",Mujer
1767,HIPOLITA,740 ,"74,9",Mujer
3722,AURITA,243 ,"74,9",Mujer
4582,EVERILDA,186 ,"74,9",Mujer
5382,HONORATA,151 ,"74,9",Mujer
5487,AUDELINA,147 ,"74,9",Mujer
8649,TORCUATA,85 ,"74,9",Mujer
12911,HUMILDE,52 ,"74,9",Mujer
18875,JEAN ELIZABETH,34 ,"74,9",Mujer
23013,ELSBETH,27 ,"74,9",Mujer
24.064,MARIA HERMESINDA,26 ,"74,9",Mujer
29.108,MARIA CARMEN RITA,21 ,"74,9",Mujer
22528,RONALD GEORGE,28 ,"74,8",Hombres
1187,VALERIANA,1.385 ,"74,8",Mujer
1207,CASIMIRA,1.341 ,"74,8",Mujer
1259,CIPRIANA,1.261 ,"74,8",Mujer
2300,HERMINDA,482 ,"74,8",Mujer
3520,CONRADA,263 ,"74,8",Mujer
6306,EXALTACION,125 ,"74,8",Mujer
6841,ADOLFA,112 ,"74,8",Mujer
6936,ATILANA,110 ,"74,8",Mujer
9231,PATRICIA MARGARET,78 ,"74,8",Mujer
18374,GRACILIANA,35 ,"74,8",Mujer
24.072,MARIA LUISA CONCEPCION,26 ,"74,8",Mujer
8382,AUSENCIO,93 ,"74,7",Hombres
17041,FIDENCIANO,39 ,"74,7",Hombres
23401,APRONIANO,26 ,"74,7",Hombres
546,DIONISIA,4.076 ,"74,7",Mujer
868,ISOLINA,2.163 ,"74,7",Mujer
1167,EUFEMIA,1.426 ,"74,7",Mujer
1375,AQUILINA,1.122 ,"74,7",Mujer
1689,EVARISTA,795 ,"74,7",Mujer
1821,HIGINIA,702 ,"74,7",Mujer
6323,REPOSO,125 ,"74,7",Mujer
7144,ULPIANA,107 ,"74,7",Mujer
8343,CONSOLACIO,88 ,"74,7",Mujer
16212,ANN PATRICIA,40 ,"74,7",Mujer
24.079,MARIA SALUDINA,26 ,"74,7",Mujer
9505,URSICINO,80 ,"74,6",Hombres
10105,SERVILIANO,74 ,"74,6",Hombres
27679,COLIN WILLIAM,21 ,"74,6",Hombres
1834,ESCOLASTICA,694 ,"74,6",Mujer
2095,ARSENIA,551 ,"74,6",Mujer
