CUSEC,Nivel,vivienda turistica,plazas,Porcentaje vivienda turistica,PERIODO,PROV_LITERAL,MUN_LITERAL
0200305007,Secciones,2,5,"0,34",2024M11,Albacete,Albacete
0200308001,Secciones,12,79,"0,29",2024M11,Albacete,Albacete
0200307018,Secciones,6,26,,2024M11,Albacete,Albacete
0200307017,Secciones,3,14,"0,26",2024M11,Albacete,Albacete
0200301017,Secciones,6,28,"0,60",2024M11,Albacete,Albacete
0200307013,Secciones,1,6,"0,16",2024M11,Albacete,Albacete
0200308006,Secciones,1,4,"0,10",2024M11,Albacete,Albacete
0200307002,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200305008,Secciones,4,21,"0,64",2024M11,Albacete,Albacete
0200308002,Secciones,4,13,"0,36",2024M11,Albacete,Albacete
0200307011,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200307010,Secciones,6,23,"0,71",2024M11,Albacete,Albacete
0200307008,Secciones,7,26,"0,56",2024M11,Albacete,Albacete
0200306010,Secciones,1,4,"0,12",2024M11,Albacete,Albacete
0200307003,Secciones,8,33,"1,11",2024M11,Albacete,Albacete
0200306005,Secciones,2,8,"0,38",2024M11,Albacete,Albacete
0200308003,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200305010,Secciones,3,20,"0,40",2024M11,Albacete,Albacete
0200307005,Secciones,3,12,"0,30",2024M11,Albacete,Albacete
0200306012,Secciones,2,4,"0,37",2024M11,Albacete,Albacete
0200306004,Secciones,3,16,"0,43",2024M11,Albacete,Albacete
0200307006,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200307009,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200307004,Secciones,3,14,"0,37",2024M11,Albacete,Albacete
0200306003,Secciones,1,6,"0,16",2024M11,Albacete,Albacete
0200307007,Secciones,2,4,"0,75",2024M11,Albacete,Albacete
0200307016,Secciones,5,26,"0,92",2024M11,Albacete,Albacete
0200305011,Secciones,3,14,"0,45",2024M11,Albacete,Albacete
0200302018,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200305006,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200305013,Secciones,1,2,"0,15",2024M11,Albacete,Albacete
0200306001,Secciones,2,7,"0,29",2024M11,Albacete,Albacete
0200303012,Secciones,1,4,"0,11",2024M11,Albacete,Albacete
0200305002,Secciones,2,9,"0,32",2024M11,Albacete,Albacete
0200303011,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200302005,Secciones,6,28,"0,68",2024M11,Albacete,Albacete
0200302001,Secciones,6,41,"0,68",2024M11,Albacete,Albacete
0200304010,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200302025,Secciones,3,9,,2024M11,Albacete,Albacete
0200305009,Secciones,1,4,"0,13",2024M11,Albacete,Albacete
0200303004,Secciones,2,12,"0,20",2024M11,Albacete,Albacete
0200304003,Secciones,1,4,"0,24",2024M11,Albacete,Albacete
0200303001,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200304014,Secciones,3,16,"0,41",2024M11,Albacete,Albacete
0200302022,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200303013,Secciones,1,5,"0,20",2024M11,Albacete,Albacete
0200302014,Secciones,2,8,"0,23",2024M11,Albacete,Albacete
0200303003,Secciones,5,24,"0,47",2024M11,Albacete,Albacete
0200306002,Secciones,5,26,"0,45",2024M11,Albacete,Albacete
0200302017,Secciones,1,5,"0,17",2024M11,Albacete,Albacete
0200303014,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200304001,Secciones,6,23,"0,89",2024M11,Albacete,Albacete
0200302020,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200302003,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200302007,Secciones,3,18,"0,36",2024M11,Albacete,Albacete
0200302011,Secciones,2,10,"0,42",2024M11,Albacete,Albacete
0200303010,Secciones,1,7,"0,22",2024M11,Albacete,Albacete
0200302021,Secciones,3,6,"0,51",2024M11,Albacete,Albacete
0200304011,Secciones,8,20,"0,83",2024M11,Albacete,Albacete
0200302009,Secciones,2,8,"0,19",2024M11,Albacete,Albacete
0200302016,Secciones,1,4,"0,11",2024M11,Albacete,Albacete
0200304008,Secciones,1,2,"0,16",2024M11,Albacete,Albacete
0200303002,Secciones,3,11,"0,42",2024M11,Albacete,Albacete
0200304007,Secciones,1,4,"0,18",2024M11,Albacete,Albacete
0200305004,Secciones,5,13,"0,64",2024M11,Albacete,Albacete
0200305001,Secciones,5,20,"0,94",2024M11,Albacete,Albacete
0200304009,Secciones,3,5,"0,52",2024M11,Albacete,Albacete
0200301015,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200301004,Secciones,8,37,"0,97",2024M11,Albacete,Albacete
0200306009,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
